series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T36.A.V.$,T36,"Total trade - value, volume, unit value",558,C,Nicaragua,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,14.989,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",558,C,Nicaragua,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,10.949,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",600,C,Paraguay,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,21.299,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",600,C,Paraguay,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,26.799,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",604,C,Peru,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,149.9959805,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",604,C,Peru,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,123.507984,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",608,C,Philippines,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,295.86,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",608,C,Philippines,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,64.199,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",616,C,Poland,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,127,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",616,C,Poland,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,146,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",792,C,Turkey,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,113.5,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",792,C,Turkey,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,216,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",818,C,Egypt,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,330.6398008,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",818,C,Egypt,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,285.1768282,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",840,C,United States,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,9500.183,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",840,C,United States,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,4835.463,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",858,C,Uruguay,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,152.799,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",858,C,Uruguay,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,147.399,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",4,C,Afghanistan,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,49.7,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",4,C,Afghanistan,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,52.8,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",16,C,American Samoa,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,0.261,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",16,C,American Samoa,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,0.892,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",24,C,Angola,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,961,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",24,C,Angola,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,981.012,M,V,Value,A,Actual
