series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T38.A.CF.,T38,Conversion factors,238,C,Falkland Is,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,4.02999973,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,238,C,Falkland Is,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,4.02999973,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,242,C,Fiji,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,1.8154993,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,242,C,Fiji,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,1.8154993,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,246,C,Finland,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.73529994,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,246,C,Finland,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.73529994,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,251,C,France,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.83959972,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,251,C,France,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.83959972,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,254,C,French Guiana,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.00839599,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,254,C,French Guiana,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.00839599,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,258,C,French Polynesia,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.02014999,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,258,C,French Polynesia,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.02014999,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,270,C,Gambia,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.80599987,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,270,C,Gambia,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.80599987,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,288,C,Ghana,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,1.679199,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,288,C,Ghana,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,1.679199,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,300,C,Greece,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.20999997,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,300,C,Greece,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.20999997,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,312,C,Guadeloupe,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.83959972,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,312,C,Guadeloupe,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.83959972,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,316,C,Guam,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,1,,CF,Conversion Factor,A,Actual
